action,behavior_coarse,count
Enjoy the current tranquility of the home environment,放松与情绪调节,2
Enjoy the meal alone or with companionship if desired,饮食相关,2
"Enjoy the meal alone, allowing the quiet day to continue and to maintain the sense of tranquility",饮食相关,2
"Enjoy the meal alone, allowing time for reflection on the day's peacefulness",饮食相关,2
"Enjoy the meal alone, as no one is expected to join",饮食相关,2
"Enjoy the meal alone, in reflection of the day's tranquility",饮食相关,2
Enjoy the meal at a comfortable temperature,饮食相关,2
Enjoy the meal in a relaxed manner,饮食相关,2
Enjoy the meal in a relaxing manner,饮食相关,2
Enjoy the meal in the calm atmosphere,饮食相关,2
Enjoy the meal once it's ready,饮食相关,2
Enjoy the meal outdoors,饮食相关,2
"Enjoy the meal, focusing on the nourishment and the moment of tranquility",饮食相关,2
Enjoy the quiet moments of the home environment,放松与情绪调节,2
Enjoy the quiet morning at home,放松与情绪调节,2
Enjoy the tranquility of home and its simplicity,放松与情绪调节,2
Enjoy the tranquility of the park,放松与情绪调节,2
Ensure a comfortable eating environment,饮食相关,2
Ensure a comfortable seating arrangement for dining,饮食相关,2
Ensure a hygienic cooking environment,饮食相关,2
Ensure all devices are turned off or on silent mode,数字设备与账号操作,2
Ensure all necessary cooking supplies are available,购物采购,2
Ensure all necessary ingredients are available for cooking,饮食相关,2
Ensure comfort and convenience at home for meal preparation,饮食相关,2
Ensure comfort and safety in the living environment,家居环境管理,2
Ensure comfort in current living environment,家居环境管理,2
Ensure comfort in the sleeping area,睡眠相关,2
Ensure comfort in the sleeping environment,睡眠相关,2
Ensure comfortable sleep environment,睡眠相关,2
Ensure food is properly cooked and safe to eat,饮食相关,2
Ensure home is ready for meal preparation,饮食相关,2
Ensure kitchen is set up for cooking,饮食相关,2
Ensure kitchen supplies are available,购物采购,2
Ensure meal is enjoyable and comforting,饮食相关,2
Ensure meal is in line with retirement lifestyle and dietary needs,饮食相关,2
Ensure mealtime is peaceful and enjoyable,其他,2
Ensure personal comfort and safety,家居环境管理,2
Ensure room is dark for better sleep,睡眠相关,2
Ensure that the meal is healthy and nourishing for a person of your age and current health status,饮食相关,2
Ensure the bedroom is comfortable for sleep,睡眠相关,2
Ensure the environment is suitable for meal preparation,饮食相关,2
Ensure the home is secure and comfortable for the night,家居环境管理,2
Ensure the kitchen is clean and equipped for cooking,饮食相关,2
Ensure the kitchen is equipped with necessary ingredients and utensils,饮食相关,2
Ensure the kitchen is set for cooking,饮食相关,2
Ensure the living space is comfortable for sleep,睡眠相关,2
Ensure the living space is comfortable for sleeping,睡眠相关,2
Ensure the meal is balanced for health,饮食相关,2
Ensure the meal is enjoyable and fulfilling,饮食相关,2
Ensure the meal is enjoyable and satisfies the need to eat,饮食相关,2
Ensure the meal is nutritious and fulfilling for dinner,饮食相关,2
Ensure the meal is prepared to a safe temperature,饮食相关,2
Ensure the meal is ready and at a suitable serving temperature,饮食相关,2
Ensure the room is conducive to sleep,睡眠相关,2
Ensure the room is dark and quiet,放松与情绪调节,2
Ensure the room is quiet and dark,放松与情绪调节,2
Ensure the room is quiet and has appropriate temperature,放松与情绪调节,2
Ensure the room is suitable for sleep,睡眠相关,2
Ensure the sleep environment is comfortable,睡眠相关,2
Ensure you enjoy your meal in a comfortable and safe environment,饮食相关,2
Enter restful state,其他,2
Enter the bedroom and lie down,睡眠相关,2
Enter the house,出行移动,2
Evaluate available food options at the workplace,工作任务,2
Evaluate available food options at workplace,工作任务,2
Evaluate available ingredients and plan the meal,饮食相关,2
Evaluate the current location for suitable dining options,饮食相关,2
Evaluate the current weather and decide on the best shopping time,购物采购,2
"Evaluate the day's experience to appreciate the simple, fulfilling moments",其他,2
Fall asleep naturally,睡眠相关,2
Focus on sleep until morning,睡眠相关,2
"Gather necessary items (e.g., pillow, blanket, glasses, etc.)",购物采购,2
Get dressed for shopping,购物采购,2
Get dressed for the shopping trip,购物采购,2
"Get dressed in comfortable, weather-appropriate clothing",家居环境管理,2
Go to bed at a reasonable hour to ensure enough sleep,睡眠相关,2
Go to sleep,睡眠相关,2
Have a healthy breakfast,饮食相关,2
Identify a friend to contact,社交沟通,2
Identify shopping list based on current needs and preferences,购物采购,2
Identify shopping list based on daily needs,购物采购,2
"If applicable, prepare the chosen food item or order it",饮食相关,2
"If necessary, adjust the room temperature to a comfortable level",家居环境管理,2
"If needed, prepare ingredients",饮食相关,2
Initiate sleep,睡眠相关,2
Lay down in the bed at an appropriate time for rest,睡眠相关,2
Leave workplace to head home,工作任务,2
Lie down and close the eyes,睡眠相关,2
Lie down and close your eyes,睡眠相关,2
Lie down and initiate sleep,睡眠相关,2
Lie down and relax,睡眠相关,2
Lie down and rest,睡眠相关,2
Lie down in bed and assume a comfortable sleep position,睡眠相关,2
Lie down in bed and attempt to fall asleep,睡眠相关,2
Lie down in bed and relax,睡眠相关,2
Lie down in the bed and initiate the sleep process,睡眠相关,2
List shopping needs,购物采购,2
Listen to calming music,放松与情绪调节,2
Listen to some soft music to relax,放松与情绪调节,2
Listen to soothing music to enhance the peaceful atmosphere,放松与情绪调节,2
Maintain a sense of balance and hope,其他,2
Maintain current routine and comfort,家居环境管理,2
Make purchases and ensure items meet personal needs,购物采购,2
Monitor cooking process and adjust as necessary,饮食相关,2
Monitor cooking progress and adjust as needed,饮食相关,2
Monitor cooking progress to ensure food is prepared to desired specifications,饮食相关,2
Monitor the cooking process to ensure meal is properly prepared,饮食相关,2
Monitor the meal and adjust cooking if needed,饮食相关,2
Order food,饮食相关,2
Order or select the meal,饮食相关,2
"Pack essentials or a small bag with wallet, shopping list, and water",购物采购,2
Perform a brief stretching or meditation to maintain well-being,放松与情绪调节,2
Perform a calming pre-sleep routine,睡眠相关,2
Perform a calming routine to relax,放松与情绪调节,2
Perform a calming routine to relax the mind,放松与情绪调节,2
Perform a relaxation routine to settle the mind,放松与情绪调节,2
Perform a relaxing activity to unwind,放松与情绪调节,2
Perform a relaxing bedtime routine,睡眠相关,2
Perform a short meditation or light reading to calm the mind,放松与情绪调节,2
Perform calming activity,放松与情绪调节,2
Perform light stretching or exercises,其他,2
Perform light stretching or yoga,其他,2
Perform morning hygiene routine,其他,2
Perform relaxation techniques to calm the mind,放松与情绪调节,2
Perform relaxing bedtime routine,睡眠相关,2
Place an order or wait for service,其他,2
Plan a meal based on current weather and temperature,饮食相关,2
Plan a meal considering the peace of the day,饮食相关,2
Plan a routine for the following day to maintain a sense of routine and contentment,计划与决策,2
Plan a simple and comforting meal for tonight,饮食相关,2
Plan a simple meal based on comfort and ease,饮食相关,2
Plan a simple meal considering current time and environment,饮食相关,2
Plan a simple meal that brings contentment,饮食相关,2
"Plan a simple, home-cooked lunch based on current health and dietary needs",饮食相关,2
Plan and prepare a simple meal,饮食相关,2
Plan and prepare ingredients for a meal,饮食相关,2
Plan meal options,饮食相关,2
Plan meal options based on available ingredients,饮食相关,2
Plan meal options considering dietary preferences and ingredients at home,饮食相关,2
Plan meal selection based on preferences and ingredients available,饮食相关,2
Plan shopping list,购物采购,2
Plan shopping list based on daily needs,购物采购,2
Plan shopping list based on known preferences,购物采购,2
Plan simple yet nourishing meal options,饮食相关,2
Plan the shopping list based on daily needs,购物采购,2
Plan the shopping list based on needs and preferences,购物采购,2
"Practice a calming activity (e.g., reading or meditation) if needed",放松与情绪调节,2
Practice a calming activity like reading or meditation,放松与情绪调节,2
"Practice a calming activity, such as reading or listening to music",放松与情绪调节,2
Practice a calming bedtime routine,睡眠相关,2
Practice deep breathing or meditation to relax,放松与情绪调节,2
Practice gentle stretching or yoga,其他,2
Practice light stretching to maintain flexibility,其他,2
Practice light stretching to stay flexible,其他,2
Practice mindfulness or meditation,放松与情绪调节,2
Practice mindfulness or meditation to deepen the reflection,放松与情绪调节,2
Practice relaxation techniques if needed,放松与情绪调节,2
Practice relaxation techniques to induce sleep,睡眠相关,2
Preheat the oven and prepare cooking ingredients,饮食相关,2
Prepare a comfortable bed and change into comfortable night attire,睡眠相关,2
Prepare a comfortable resting environment,家居环境管理,2
Prepare a comfortable seating area with natural light,家居环境管理,2
Prepare a comfortable work environment at home,工作任务,2
Prepare a comfortable working environment at home,家居环境管理,2
Prepare a healthy breakfast,饮食相关,2
Prepare a healthy morning snack,其他,2
Prepare a light breakfast,饮食相关,2
"Prepare a light, calming bedtime snack",睡眠相关,2
"Prepare a light, nutritious breakfast",饮食相关,2
Prepare a meal at home considering the tranquility of the day and current temperature,饮食相关,2
Prepare a meal considering current time and weather,饮食相关,2
Prepare a meal considering the weather and temperature,饮食相关,2
Prepare a meal to satisfy the need for sustenance,饮食相关,2
Prepare a meal using available ingredients,饮食相关,2
Prepare a meal with portable food if a café or restaurant is not available,饮食相关,2
Prepare a meal with simple and easy-to-cook ingredients,饮食相关,2
Prepare a nutritious breakfast considering the pleasant weather and comfortable temperature,饮食相关,2
Prepare a quiet workspace,工作任务,2
Prepare a relaxing environment,放松与情绪调节,2
Prepare a shopping list based on current needs and budget,购物采购,2
Prepare a shopping list based on daily necessities,购物采购,2
Prepare a shopping list based on needs and preferences,购物采购,2
Prepare a simple and nutritious meal considering the current weather and temperature,饮食相关,2
Prepare a simple breakfast at home,饮食相关,2
Prepare a simple meal,饮食相关,2
Prepare a simple meal as today was tranquil and there's no need for elaborate preparation,饮食相关,2
Prepare a simple meal based on comfort and nutritional needs,饮食相关,2
Prepare a simple meal considering age and physical comfort,饮食相关,2
Prepare a simple meal considering health and dietary needs,饮食相关,2
Prepare a simple meal considering the quiet day and my age,饮食相关,2
Prepare a simple meal considering weather and temperature,饮食相关,2
Prepare a simple meal considering weather and time,饮食相关,2
Prepare a simple meal or snack,饮食相关,2
Prepare a simple meal that can be enjoyed at home,饮食相关,2
Prepare a simple meal to enjoy at home,饮食相关,2
"Prepare a simple, nourishing meal",饮食相关,2
"Prepare a simple, nutritious breakfast based on available ingredients",饮食相关,2
"Prepare a simple, nutritious meal",饮食相关,2
"Prepare a small snack or meal for later, given the early hour",饮食相关,2
Prepare a warm herbal tea to relax,放松与情绪调节,2
Prepare all necessary ingredients,饮食相关,2
Prepare and consume the selected food,饮食相关,2
Prepare and cook a meal that is easy to prepare,饮食相关,2
"Prepare and cook a simple meal, considering ease and enjoyment",饮食相关,2
Prepare and cook the desired food,饮食相关,2
Prepare bed for comfortable sleep,睡眠相关,2
Prepare bed for rest,睡眠相关,2
Prepare breakfast as a home meal,饮食相关,2
Prepare breakfast ingredients,饮食相关,2
Prepare dining area,饮食相关,2
Prepare dining area with necessary items,购物采购,2
Prepare for a comfortable meal at home,饮食相关,2
Prepare for a home-cooked meal,饮食相关,2
"Prepare for a restful night, maintaining a positive state of joy as you wind down",睡眠相关,2
"Prepare for bed (change into comfortable clothing, adjust the room temperature if necessary)",睡眠相关,2
"Prepare for bed (e.g., remove unnecessary items, set up the bed)",购物采购,2
Prepare for bed by changing into comfortable pajamas,睡眠相关,2
Prepare for bed with a comfortable sleepwear,睡眠相关,2
Prepare for bed with necessary items,购物采购,2
Prepare for breakfast,饮食相关,2
Prepare for cooking at home,饮食相关,2
Prepare for dinner,饮食相关,2
Prepare for rest by changing into comfortable clothing,睡眠相关,2
Prepare for sleep by changing into comfortable clothing,睡眠相关,2
Prepare for sleep by changing into comfortable sleepwear,睡眠相关,2
Prepare for sleep by dimming the lights,睡眠相关,2
Prepare for sleep by ensuring comfort,睡眠相关,2
Prepare for sleep by relaxing and winding down,睡眠相关,2
Prepare for sleep with comfortable environment,睡眠相关,2
Prepare for the meal,饮食相关,2
Prepare ingredients for cooking,饮食相关,2
Prepare ingredients if necessary,饮食相关,2
Prepare kitchen for cooking,饮食相关,2
Prepare meal based on available ingredients,饮食相关,2
Prepare meal ingredients,饮食相关,2
Prepare necessary payment methods and shopping list,购物采购,2
Prepare or buy the selected food item,购物采购,2
"Prepare or enter home, if already there",出行移动,2
Prepare or heat up leftovers for a meal,饮食相关,2
Prepare or order the selected meal,饮食相关,2
Prepare personal items for the outing,购物采购,2
Prepare shopping list based on current needs,购物采购,2
Prepare side dishes and beverages,饮食相关,2
Prepare some leftovers from today’s cooking,饮食相关,2
Prepare the bed with clean sheets,睡眠相关,2
Prepare the bedroom for a comfortable sleep,睡眠相关,2
Prepare the bedroom for rest,睡眠相关,2
Prepare the bedroom with appropriate temperature,睡眠相关,2
Prepare the ingredients and cook the meal,饮食相关,2
Prepare the ingredients for a simple meal,饮食相关,2
Prepare the ingredients for the meal,饮食相关,2
Prepare the kitchen area for cooking,饮食相关,2
Prepare the kitchen environment,饮食相关,2
Prepare the kitchen environment for cooking,饮食相关,2
Prepare the kitchen for meal preparation,饮食相关,2
Prepare the lunch in a calm and peaceful setting,饮食相关,2
Prepare the meal based on available ingredients,饮食相关,2
Prepare the meal if not pre-made,饮食相关,2
Prepare the meal if there is available equipment,饮食相关,2
Prepare the meal in a comfortable and relaxing manner,饮食相关,2
Prepare the meal in a comfortable and relaxing setting,饮食相关,2
Prepare the meal in the kitchen,饮食相关,2
Prepare the meal ingredients,饮食相关,2
Prepare the meal using the available ingredients,饮食相关,2
Prepare the meal with accessible ingredients,饮食相关,2
Prepare the necessary ingredients and cooking utensils,饮食相关,2
Prepare the necessary ingredients for the meal,饮食相关,2
Prepare the selected meal,饮食相关,2
Prepare the selected meal in a relaxed manner,饮食相关,2
Prepare the shopping list based on needs,购物采购,2
Prepare to go to bed,睡眠相关,2
Prepares the kitchen,饮食相关,2
Prepares the selected meal,饮食相关,2
Proceed to the checkout and pay for purchases,购物采购,2
Read a book or listen to soothing music to unwind,放松与情绪调节,2
Read or engage in a hobby to start the day positively,放松与情绪调节,2
Recall moments of joy and sadness,其他,2
Reflect on the day and express gratitude for the simple joy,放松与情绪调节,2
Reflect on the day and practice mindfulness to relax,放松与情绪调节,2
Reflect on the day and relax,放松与情绪调节,2
Reflect on the day and the meal,饮食相关,2
Reflect on the day's events and feelings,放松与情绪调节,2
Reflect on the day's events and maintain a positive outlook,放松与情绪调节,2
Reflect on the day's experiences and the sense of satisfaction gained from a tranquil day,放松与情绪调节,2
Reflect on the day's peace and simplicity,放松与情绪调节,2
Reflect on the day's peacefulness,放松与情绪调节,2
Reflect on the day's peacefulness over the meal,饮食相关,2
Reflect on the day's thoughts,放松与情绪调节,2
Reflect on the day's thoughts and feelings,放松与情绪调节,2
Reflect on the day's tranquility while eating,饮食相关,2
Reflect on the meal,饮食相关,2
Reflect on the meal and day,饮食相关,2
"Reflect on the meal and day, possibly enjoying a moment of relaxation or leisure",饮食相关,2
Reflect on the meal and enjoy the tranquility of the day,饮食相关,2
Reflect on the meal and feelings,饮食相关,2
Reflect on the meal and its ingredients,饮食相关,2
Reflect on the meal and its satisfaction,饮食相关,2
Reflect on the meal and its taste,饮食相关,2
Reflect on the meal and the calm day,饮食相关,2
Reflect on the meal and the day's calmness,饮食相关,2
Reflect on the meal and the day's events,饮食相关,2
Reflect on the meal and the day's peacefulness,饮食相关,2
Reflect on the passage of time and the tranquility experienced,放松与情绪调节,2
Reflect on the peaceful day,放松与情绪调节,2
Reflect on the peaceful day with the meal,饮食相关,2
Reflect on the peacefulness of the day,放松与情绪调节,2
Reflect on the peacefulness of the day post-meal,饮食相关,2
Reflect on the simplicity and value of peace during the meal,饮食相关,2
Reflect on the simplicity of uneventful days and the fulfillment they bring,放松与情绪调节,2
Reflect on today's peaceful day,放松与情绪调节,2
Relax after meal,饮食相关,2
Relax after the meal to digest,饮食相关,2
Relax after the peaceful day,放松与情绪调节,2
Relax and enjoy the peaceful evening at home,放松与情绪调节,2
Relax and enjoy the quiet atmosphere,放松与情绪调节,2
Relax and enjoy the quiet of the home,放松与情绪调节,2
Relax and enjoy the tranquility of the home environment,放松与情绪调节,2
Relax and practice relaxation techniques to calm the mind,放松与情绪调节,2
Relax and reflect on the day's events after finishing the meal,饮食相关,2
Relax and reflect on the quiet day with the meal,饮食相关,2
Relax and rest after eating,饮食相关,2
Relax and take it easy after eating,饮食相关,2
Relax and unwind from the day,放松与情绪调节,2
Relax and unwind from the day's events,放松与情绪调节,2
Relax and unwind in the tranquil atmosphere,放松与情绪调节,2
Relax and unwind to facilitate sleep,睡眠相关,2
"Relax and unwind, possibly with a light activity",放松与情绪调节,2
"Relax and unwind, reflecting on the day's tranquility",放松与情绪调节,2
Relax before bedtime,睡眠相关,2
Relax in a calm and serene state,放松与情绪调节,2
Relax in a comfortable chair or sofa to wind down,睡眠相关,2
Relax in a comfortable chair to focus on reflection,放松与情绪调节,2
Relax in a comfortable chair to unwind,放松与情绪调节,2
Relax in a seated or lying position,放松与情绪调节,2
Relax in the comfort of home,放松与情绪调节,2
Relax in the comfortable home environment,放松与情绪调节,2
Relax in the current environment,放松与情绪调节,2
Relax in the current room,放松与情绪调节,2
Relax in the living room,放松与情绪调节,2
Relax in the living room to unwind,放松与情绪调节,2
Relax in your favorite chair or bed,睡眠相关,2
Relax mind,放松与情绪调节,2
Relax mind through deep breathing or meditation,放松与情绪调节,2
Relax or engage in a low-energy activity after the meal,饮食相关,2
Relax the body and mind,放松与情绪调节,2
Relax the body and mind with deep breathing or light stretching,放松与情绪调节,2
Remove all distractions and set aside any electronics,其他,2
Remove all electronic devices to reduce distractions,数字设备与账号操作,2
Remove any distractions or electronics from the bedroom,睡眠相关,2
Remove any electronic devices to minimize disturbances,数字设备与账号操作,2
Remove distractions,其他,2
Remove distractions from the bedroom,睡眠相关,2
Reserve a table if necessary,其他,2
Reserve a table if needed,其他,2
"Reserve a table, if necessary, considering the current time and weather",其他,2
Rest and relax after meal,饮食相关,2
Rest and relax after the meal,饮食相关,2
Retire to bed,睡眠相关,2
Retrieve any necessary ingredients or cooking utensils,饮食相关,2
Retrieve contact list,社交沟通,2
Retrieve phone,数字设备与账号操作,2
Review and prepare shopping list,购物采购,2
Review any current promotions or discounts available,计划与决策,2
Review contacts list,计划与决策,2
Review current needs and budget,购物采购,2
Review daily tasks or to-do list,工作任务,2
Review meal options,饮食相关,2
Review meal preparation options,饮食相关,2
Review or set the day's agenda,计划与决策,2
Review the day and calm the mind,放松与情绪调节,2
Review the day's activities and feelings,计划与决策,2
Review the day's activities and reflect,放松与情绪调节,2
Review the day's events and thoughts to foster a peaceful state of mind,计划与决策,2
Review the ingredients and plan a meal based on current supplies,购物采购,2
Review today's tasks and goals,工作任务,2
Review work-related tasks for the day,工作任务,2
"Savor the meal alone in the quiet of your home, reflecting on the day's tranquility",饮食相关,2
Savor the simplicity of a home-cooked meal,饮食相关,2
Seek out available food options,饮食相关,2
Select a comfortable place to sit and enjoy the evening weather,家居环境管理,2
Select a food item that suits the weather and temperature,饮食相关,2
Select a friend to call or message,社交沟通,2
Select a healthy and easy-to-prepare meal,饮食相关,2
Select a home-cooked meal that is both nourishing and enjoyable,饮食相关,2
Select a meal based on preferences and ingredients available,饮食相关,2
Select a method of communication,其他,2
Select a nutritious meal option considering age and health,饮食相关,2
Select a simple meal option that suits the current weather and temperature,饮食相关,2
Select a simple meal to prepare based on comfort and ease,饮食相关,2
Select a simple yet nourishing meal based on the current weather and temperature,饮食相关,2
"Select a simple, nutritious meal considering the temperature",饮食相关,2
Select a suitable communication method,其他,2
Select a suitable food item based on available options,饮食相关,2
Select a suitable method for contacting friends,社交沟通,2
Select a suitable outdoor eating location based on the current weather and temperature,饮食相关,2
Select a time to call,社交沟通,2
Select an easy meal option considering current emotion and day's tranquility,饮食相关,2
Select an eating place that aligns with current health and dietary needs,饮食相关,2
Select and prepare ingredients for the meal,饮食相关,2
Select appropriate friends to contact,社交沟通,2
Select items based on needs,购物采购,2
Select items within budget,购物采购,2
Select necessary items for purchase,购物采购,2
Select preferred method of contact,社交沟通,2
Serve and arrange the meal,饮食相关,2
Serve and consume the meal,饮食相关,2
Serve and eat the prepared meal,饮食相关,2
Serve the cooked meal on plates,饮食相关,2
Serve the meal and enjoy,饮食相关,2
Serve the meal and enjoy it,饮食相关,2
Serve the meal and set the table,饮食相关,2
Serve the meal and sit down comfortably to enjoy it,饮食相关,2
Serve the meal and sit down to eat,饮食相关,2
Serve the meal in a comfortable setting to enhance the satisfaction and joy of the mealtime,饮食相关,2
Serve the meal in a comfortable setting to maintain the tranquil mood,饮食相关,2
Serve the meal on a comfortable chair or couch,饮食相关,2
Serve the meal on a pleasant setting,饮食相关,2
Serve the meal on plates,饮食相关,2
Serve the meal on the dining table,饮食相关,2
Set a calming bedtime routine,睡眠相关,2
Set a calming environment with appropriate temperature,放松与情绪调节,2
Set an alarm for an appropriate wake-up time,睡眠相关,2
Set an alarm for an appropriate wake-up time if necessary,睡眠相关,2
Set an alarm if needed,睡眠相关,2
Set the alarm clock if necessary and then lie down in the bed,睡眠相关,2
Set the alarm clock if needed,睡眠相关,2
Set the alarm for a comfortable wake-up time,睡眠相关,2
Set the alarm for the next day if necessary,睡眠相关,2
Set the alarm if necessary,睡眠相关,2
Set the bedroom temperature to a comfortable level,睡眠相关,2
Set the dining table with appropriate items,购物采购,2
Set the dining table with utensils and a pleasant ambiance,饮食相关,2
Set the environment for relaxation,放松与情绪调节,2
Set the table and prepare utensils,饮食相关,2
Set the table for an intimate meal at home,饮食相关,2
Set the table with appropriate tableware and decor to enhance the dining experience,饮食相关,2
Set the table with appropriate utensils and place settings,饮食相关,2
Set the table with appropriate utensils and settings,饮食相关,2
Set the table with cutlery and plates,饮食相关,2
Set the table with necessary utensils and plates,饮食相关,2
Set up a calming bedtime routine,睡眠相关,2
Set up a comfortable sleeping position,睡眠相关,2
Set up a comfortable work environment,工作任务,2
Set up a comfortable workspace at home to ensure productivity,工作任务,2
Set up a sleep schedule,睡眠相关,2
Set up my bed with clean sheets and pillows,睡眠相关,2
Set up the meal in a comfortable and safe outdoor space,饮食相关,2
Shop for the items on the list,购物采购,2
Sit down and eat,饮食相关,2
Sit down and start eating,饮食相关,2
Sit down comfortably and enjoy the meal,饮食相关,2
Sit down to eat the prepared meal,饮食相关,2
"Sit down to eat, savoring each bite with joy",饮食相关,2
Sit down to enjoy the meal,饮食相关,2
Sit down to enjoy the meal in peace,饮食相关,2
Sleep peacefully,睡眠相关,2
Start cooking,饮食相关,2
Start cooking a meal,饮食相关,2
Start cooking the selected meal,饮食相关,2
Start meal preparation if needed,饮食相关,2
Start preparing a home-cooked meal,饮食相关,2
Start preparing a meal,饮食相关,2
Start preparing dinner considering the current time and the need for a meal,饮食相关,2
Start the day with a healthy breakfast,饮食相关,2
Start the day with a leisurely breakfast,饮食相关,2
Start the day with a light breakfast to sustain energy levels,饮食相关,2
Start the evening routine to prepare for dinner,饮食相关,2
Start the preparation for cooking,饮食相关,2
Stay at home and utilize current location,其他,2
Stay at home as the location is already there,其他,2
Stay at home to maintain comfort and tranquility after a quiet day,放松与情绪调节,2
Stay at home to prepare a meal,饮食相关,2
Stay at home to prepare for dinner,饮食相关,2
Stay at home to prepare meal,饮食相关,2
Stay home as the day has started,其他,2
Stay home due to current location,其他,2
Stay home due to the pleasant weather and comfortable temperature,家居环境管理,2
Take a leisurely walk around the home garden to appreciate the beauty of the surroundings,出行移动,2
Take a moment to meditate or practice deep breathing to enhance tranquility,放松与情绪调节,2
Take a peaceful walk or sit in a tranquil spot at home,出行移动,2
Take a relaxing bath or shower to help unwind,放松与情绪调节,2
Take a short walk around the house to enjoy the quiet,出行移动,2
Take a warm bath or shower to relax,放松与情绪调节,2
Take care of any necessary dishes afterward,饮食相关,2
"Take in the calm atmosphere of the home, contributing to the sense of relief",放松与情绪调节,2
Take in the sunny weather while eating,饮食相关,2
Take short breaks to rest and relax,睡眠相关,2
Take time to savor the meal and the quiet day,饮食相关,2
Turn off all electronic devices to reduce distractions,数字设备与账号操作,2
Turn off electronic devices to relax,数字设备与账号操作,2
Wait for food to be ready if preparation is needed,饮食相关,2
Wait for food to be served or bring prepared food,饮食相关,2
Wait for the table to be ready or for a seat to open up,其他,2
Wash dishes,饮食相关,2
Wash dishes after eating,饮食相关,2
Wash dishes or place them in the dishwasher,饮食相关,2
Wash dishes post-meal,饮食相关,2
Wash the dishes after eating,饮食相关,2
Wash the dishes after eating to keep the home clean and organized,饮食相关,2
Wash the dishes after eating to maintain cleanliness,饮食相关,2
Wash the dishes after finishing the meal,饮食相关,2
Wash the dishes and clean up,饮食相关,2
Wash the dishes to maintain a clean environment,饮食相关,2
Wash the dishes to maintain cleanliness,饮食相关,2
Wash the utensils,其他,2
Washes the utensils and clears the table,其他,2
Wind down and engage in a calming activity,睡眠相关,2
Wind down by practicing a calming activity,睡眠相关,2
Wind down to relax,睡眠相关,2
Wind down with a calming activity,睡眠相关,2
Write a short poem or passage to capture the peacefulness,放松与情绪调节,2
Write down thoughts and feelings in a journal,放松与情绪调节,2
 Lie down and get into a restful state,睡眠相关,1
 Lie down in bed and attempt to fall asleep,睡眠相关,1
 Lie down in bed and close the curtains,睡眠相关,1
 Lie down in bed and close your eyes,睡眠相关,1
 Lie down in bed and close your eyes to drift off to sleep,睡眠相关,1
 Lie down in bed and prepare for sleep,睡眠相关,1
 Lie down in bed and relax,睡眠相关,1
 Lie down in the bed and practice relaxation techniques to induce sleep,睡眠相关,1
 Lie down in the prepared bed,睡眠相关,1
 Lie down in the prepared sleeping area,睡眠相关,1
Access a list of friends' contact information,社交沟通,1
Access a mobile device to find a taxi service app,数字设备与账号操作,1
Access phone contacts,数字设备与账号操作,1
Access phone or communication device,数字设备与账号操作,1
Access phone or contact list,数字设备与账号操作,1
Access your contact list and select a friend to call,社交沟通,1
Achieve sleep,睡眠相关,1
Adjust bedding to comfort level,家居环境管理,1
Adjust room temperature if necessary to ensure comfort,家居环境管理,1
Adjust room temperature if needed,家居环境管理,1
Adjust room temperature to 23C if needed,家居环境管理,1
Adjust room temperature to a comfortable level for sleep,睡眠相关,1
Adjust room temperature to be comfortable,家居环境管理,1
Adjust sleep environment for comfort,睡眠相关,1
Adjust sleep environment if needed,睡眠相关,1
Adjust sleep environment to optimal comfort,睡眠相关,1
Adjust sleep schedule to current time,睡眠相关,1
Adjust temperature if needed,家居环境管理,1
Adjust the bedroom temperature to be conducive for sleep,睡眠相关,1
Adjust the living space temperature to 23C if necessary,家居环境管理,1
Adjust the room environment to optimal sleep conditions,睡眠相关,1
Adjust the room temperature if necessary for comfort,家居环境管理,1
Adjust the room temperature if necessary to be conducive to sleep,睡眠相关,1
Adjust the room temperature if needed,家居环境管理,1
Adjust the room temperature to 23C,家居环境管理,1
Adjust the room temperature to 23C for comfort,家居环境管理,1
Adjust the room temperature to 23C for optimal sleep,睡眠相关,1
Adjust the room temperature to 23C if needed,家居环境管理,1
Adjust the room temperature to be conducive for sleep,睡眠相关,1
Adjust the room temperature to be conducive to sleep,睡眠相关,1
Adjust the room temperature to comfort level,家居环境管理,1
Adjust the room to a conducive state for sleep,睡眠相关,1
"Adjust the sleep environment (e.g., temperature, darkness)",睡眠相关,1
Adjust the sleep environment to your preference,睡眠相关,1
Adjust the sleep position,睡眠相关,1
Adjust the sleep temperature to 23°C,睡眠相关,1
Adjust the sleeping environment to be comfortable,睡眠相关,1
Adjust the sleeping position,睡眠相关,1
Adjust the temperature to comfort,家居环境管理,1
Adjust to a comfortable sleeping environment,睡眠相关,1
Adjust to comfortable sleeping environment,睡眠相关,1
Arrive at home,出行移动,1
Arrive at the dining location and make a reservation if needed,饮食相关,1
Arrive at the restaurant,出行移动,1
Assess available food options nearby,饮食相关,1
Assess available home-cooked meal options,饮食相关,1
Assess comfort of the current sleeping environment,睡眠相关,1
Assess current comfort and adjust if needed,家居环境管理,1
Assess current comfort and environmental conditions,家居环境管理,1
Assess current comfort and surroundings,家居环境管理,1
Assess current comfort level of sleeping environment,睡眠相关,1
Assess current comfort of sleeping environment,睡眠相关,1
Assess current condition and ensure comfort,家居环境管理,1
Assess current energy level and comfort,家居环境管理,1
Assess current energy levels and comfort,家居环境管理,1
Assess current energy levels and restlessness,计划与决策,1
