step_idx,day,t,parent_id,behavior_coarse,action,status,score,action_hits,status_hits,friction_subtype,subtype_matched_tokens
169,2,901.0,500044556,数字设备与账号操作,Check the weather and traffic updates for a suitable shopping time,"""I'm quietly enjoying a sunny day, the gentle warmth on my face a comforting backdrop to my leisurely stroll through the park. My mind is occupied with thoughts of a potential shopping trip, yet I'm at peace, content with the ease of my routine and the simple pleasure of my solitude.""",6.2,update|updates,,app_update_permission,update|updates
186,2,16201.0,500001485,数字设备与账号操作,Turn off electronic devices to ensure a good night's sleep,"""I am settling into the tranquility of evening, gently turning off my electronic devices one by one, feeling a mix of contentment and gentle anticipation for tomorrow, with a hopeful sense that calm has set in, balancing the day's moments of joy and melancholy.""",2.9,device,device,app_update_permission,device
189,2,18901.0,500063952,出行移动,Return to home,"""As the sun peaks through the morning clouds, I'm strolling along the streets with my smartphone, reflecting on the uneventful yet serene day that's felt like it's passed in slow motion, my heart a mix of melancholy and peace.""",2.0,,phone|smartphone,app_update_permission,phone|smartphone
190,2,19801.0,500004777,数字设备与账号操作,Turn off electronic devices to reduce disturbances,"""At this peaceful hour, with the sun rising and the weather perfectly clear, I find myself at home, turning off my devices to start my day with a sense of calm, knowing I've managed my online security meticulously.""",3.9,device,device|online,app_update_permission,device|online
193,2,22501.0,500063952,放松与情绪调节,Relax and unwind,"""I'm sipping my morning tea, my fingers tapping gently at the screen of my smartphone, trying out a new app, as the sun's rays gently warm my living room. Despite the calmness of the day, a quiet melancholy lingers, as if my retirement life is a gentle flow that occasionally stirs a mix of nostalgic warmth and subtle unease.""",3.0,,app|phone|smartphone,app_update_permission,app|phone|smartphone
197,2,26101.0,500044556,数字设备与账号操作,Turn off all electronic devices,"""As the sun rises brightly, I'm enjoying a tranquil morning, my heart at peace amidst the serenity of my quiet day, feeling a profound contentment in the simplicity of my activities and the absence of any drama or stress.""",1.9,device,,app_update_permission,device
202,2,30601.0,500044556,放松与情绪调节,Engage in light reading or meditation to help relax the mind,"""I'm enjoying a serene morning at home, the sunshine warming my living space as I sit comfortably, my phone beside me. It's a peaceful moment, filled with satisfaction, as I delve into some light reading or meditation to unwind my mind after a quiet and uneventful day.""",1.0,,phone,app_update_permission,phone
203,2,31501.0,500062228,放松与情绪调节,Enjoy the current tranquility of the home environment,"""This morning, as the sun casts its warm glow through the window, I'm enjoying the calm and quiet of my home, savoring the peace that comes from a day without complications. It's a relief to just sit back, take a deep breath, and appreciate the simplicity of this uneventful day.""",1.0,,app,app_update_permission,app
206,2,34201.0,500044556,放松与情绪调节,Relax in the current environment,"""As I take a leisurely stroll through the sunlit park, my heart is filled with a contented calm. Today, I've managed to evade the digital drama and focus on the simple joys of the moment, feeling quite satisfied.""",1.0,,digital,app_update_permission,digital
208,2,36001.0,500004777,购物采购,Check inventory of food supplies,"""Feeling a sense of relief, I'm going through the checklist on my phone, checking the simplicity and clarity of my home's food inventory, appreciating the serene calm of this sunny, 23-degree morning.""",12.0,inventory|supplies,app|inventory|phone,ecommerce_order_flow,inventory|supplies
209,2,36901.0,500004777,购物采购,Check inventory of food supplies,"""I'm at home, enjoying the sunny weather, feeling a sense of calm as I meticulously check the inventory of our food supplies, adhering to my preference for simplicity and efficiency.""",12.0,inventory|supplies,inventory|supplies,ecommerce_order_flow,inventory|supplies
216,2,43201.0,500054532,数字设备与账号操作,"Enjoy the meal outside, taking into account the tranquility and relief mentioned","""I'm leisurely perusing my phone, looking for a new caf\u00e9 with a sunny outdoor seating, feeling a blend of calm and a hint of melancholy, knowing this tranquil day is a welcome respite from the routine.""",5.85,account,phone,account_auth_security,account
217,2,44101.0,500054532,数字设备与账号操作,"Enjoy the meal outside, taking into account the tranquility and relief mentioned","""I'm leisurely strolling through the sunlit streets, feeling a sense of relief from the tranquility of the day, and am looking forward to an enjoyable meal outdoors.""",4.85,account,,account_auth_security,account
218,2,45001.0,500054532,数字设备与账号操作,"Enjoy the meal outside, taking into account the tranquility and relief mentioned","""I'm enjoying a sunny afternoon, my mind wandering as I ponder the day's uneventful pace, feeling a serene relief amidst the quiet simplicity of my meal outdoors.""",4.85,account,,account_auth_security,account
219,2,45901.0,500054532,数字设备与账号操作,"Enjoy the meal outside, taking into account the tranquility and relief mentioned","""I'm taking a leisurely stroll in the sunny afternoon, enjoying the tranquility of a peaceful meal outdoors, where I find a comforting blend of relief and contentment in the simple pleasures of life.""",4.85,account,,account_auth_security,account
220,2,46801.0,500054532,数字设备与账号操作,"Enjoy the meal outside, taking into account the tranquility and relief mentioned","""I'm taking a break under the sunny sky, testing out a new app on my phone while enjoying a serene lunch outside, feeling a gentle mix of tranquility and nostalgia.""",6.85,account,app|phone,account_auth_security,account
221,2,47701.0,500054532,数字设备与账号操作,"Enjoy the meal outside, taking into account the tranquility and relief mentioned","""Browsing through a sunny afternoon, I'm planning to savor a meal outside, content with the calmness of the day and feeling a serene blend of emotions, from happiness to mild sadness, all wrapped in a comforting sense of relief.""",5.85,account,app,account_auth_security,account
224,2,50401.0,500054532,出行移动,Return to the home environment,"""I'm taking a leisurely stroll in the sunshine, marveling at the tranquility of the day, my curiosity piqued by the new smart features on my phone, while my mood is a complex tapestry of calm and subtle emotional currents.""",1.0,,phone,app_update_permission,phone
225,2,51301.0,500054532,出行移动,Return to the home environment,"""I've just finished exploring some new tech features on my phone, enjoying the sunny weather as I head back home. Despite today being calm and somewhat monotonous, a serene kind of contentment fills me as I look forward to the simplicity of my evening.""",1.0,,phone,app_update_permission,phone
225,2,51301.0,500062228,放松与情绪调节,Relax in a comfortable chair and read a book,"""Today, I'm lounging in my favorite chair, the sun shining through the window, a sense of relief washing over me as I lose myself in a good book. It's a peaceful break from my usual digital adventures, where navigating through complex online procedures can be daunting.""",2.0,,digital|online,app_update_permission,digital|online
227,2,53101.0,500044556,数字设备与账号操作,Turn off all electronic devices and establish a calming routine,"""I am relaxing at home, the sun is shining warmly, and I've just finished a satisfying day with a peaceful routine. It's a nice feeling, especially after the quiet, uneventful day that left me in a tranquil state of contentment.""",1.9,device,,app_update_permission,device
227,2,53101.0,500061990,放松与情绪调节,Set the environment for relaxation,"""I'm enjoying a tranquil afternoon at home, feeling a gentle joy from the simple peace of the day as I reflect on its quiet simplicity. The warmth of the sunny weather and the lack of any pressing matters are setting the stage for a much-needed rest.""",1.0,,setting,app_update_permission,setting
229,2,54901.0,500001485,购物采购,Prepare a shopping list based on current needs and budget,"""I'm sitting quietly in my living room, the sun shining through the window, feeling a mix of contentment and a touch of melancholy as I ponder my day's quiet activities. As I reflect on today's calmness, I find myself jotting down a shopping list, hopeful for the day's errands to bring some variety to this otherwise peaceful day.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
234,2,59401.0,500004777,放松与情绪调节,Close your eyes and practice mindfulness or deep breathing to promote relaxation,"""With the sun shining brightly and the temperature at a comfortable 23\u00b0C, I find myself at home, content with a sense of relief. I'm taking a moment to practice mindfulness, focusing on deep breathing, appreciating the calm and simplicity of my evening.""",1.0,,app,app_update_permission,app
237,2,62101.0,500054532,出行移动,Return to home from current location,"""As I walk through the bright sunshine, I feel a mix of emotions ranging from the comforting tranquility of a slow day to a touch of disappointment, as if my life is moving in a gentle, uneventful drift. I'm looking forward to returning to my home, a place where I feel both relief from any turmoil and a sense of calm that comes with routine.""",1.0,,app,app_update_permission,app
244,2,68401.0,500054532,出行移动,Return to home from current location,"""I'm returning to my home in the bright, sunny evening, my heart heavy with the realization that today was a rather monotonous day, filled with a slow, steady flow of emotions ranging from sadness to joy, all wrapped in a serene tranquility that offers both relief and a sense of stagnation.""",1.0,,app,app_update_permission,app
246,2,70201.0,500054532,出行移动,Return to home from current location,"""I am winding down my day, the sun sets casting a warm glow, and as I navigate the familiar streets, I feel a sense of quiet contentment, appreciating the simple pleasures of life\u2014neither overly excited nor burdened by the day's events.""",1.0,,app,app_update_permission,app
246,2,70201.0,500061990,放松与情绪调节,Review the day's activities and reflect,"""I'm comfortably settled at home, the sun casting a warm glow through the window, and I'm taking a moment to mull over the quiet, peaceful day, a gentle sense of contentment and simple joy washing over me as I appreciate the day's simple joys.""",1.0,,app,app_update_permission,app
248,2,72001.0,500062228,数字设备与账号操作,Access phone,"""As I sit in my comfortable home, the sun still shining outside, I feel a sense of relief that today was peaceful and without any complications. I'm about to reach out to my friends, just to share a bit of the quiet tranquility that's settled over the day.""",5.9,phone,friend|friends,social_contact_coordination,friend|friends
250,2,73801.0,500001485,数字设备与账号操作,Ensure all devices are turned off or on silent mode,"""At twilight, I'm nestled in my quiet home, the sun casting a warm glow outside, and I'm taking the time to make sure all my devices are either off or on silent, seeking a peaceful night's rest, while my thoughts drift to the day's gentle flow and the subtle anticipation of what tomorrow might bring.""",2.9,device,device,app_update_permission,device
250,2,73801.0,500054532,放松与情绪调节,Engage in a relaxing activity to calm the mind,"""I'm leisurely navigating my smartphone, feeling a sense of contentment as I explore new features and share helpful tips with my neighbors, while the sun sets in a quiet, uneventful evening.""",2.0,,phone|smartphone,app_update_permission,phone|smartphone
251,2,74701.0,500001485,数字设备与账号操作,Ensure all devices are turned off or on silent mode,"""I'm settled in my home, the sun setting with a gentle warmth outside, and I'm taking care to silence my devices, the peace of the evening a welcome escape from the day's quiet melancholy.""",3.9,device,device|setting,app_update_permission,device|setting
251,2,74701.0,500062228,数字设备与账号操作,Check phone for available friends,"""This evening, I'm enjoying the sun-kissed peace of my home, my heart at ease after a tranquil day that brought no stress, as I flip through my phone to see who's around to chat with.""",10.3,friend|friends|phone,chat|phone,social_contact_coordination,chat|friend|friends
252,2,75601.0,500054532,出行移动,Return to home from current location,"""I'm leisurely making my way back home from a quiet evening out, my spirits lightened by the pleasant 23C sunshine, as I navigate familiar streets using my trusty map app. Despite the slow, uneventful nature of today, a mix of emotions gently lingers within me, offering a comforting balance.""",1.0,,app,app_update_permission,app
252,2,75601.0,500062228,社交沟通,Check the contact list,"""I'm back at home, enjoying the quiet sunset with its warm glow, my mind gently reflecting on a peaceful day. I'm reaching out to friends through my contacts list, looking for a simple chat to share this tranquil evening with.""",16.3,contact,chat|contact|contacts|friend|friends,social_contact_coordination,chat|contact|contacts|friend|friends
253,2,76501.0,500054532,出行移动,Return to home from current location,"""I'm winding down my day, the sun setting as I navigate through the streets of my city, feeling a mix of serene contentment and a touch of melancholy, knowing the day has passed without any major happenings, yet it feels like it stretched on aimlessly.""",2.0,,app|setting,app_update_permission,app|setting
254,2,77401.0,500062228,数字设备与账号操作,Access my phone,"""Tonight, I'm settled at home, the sun still shining, my body comfortable from a day well spent in quiet solitude. I'm reaching out to touch base with friends, a task that feels simple and soothing, even if the screen beckons with its complexities.""",5.9,phone,friend|friends,social_contact_coordination,friend|friends
255,2,78301.0,500062228,数字设备与账号操作,Access my phone,"""I'm sitting in a comfortable chair, my community reading group friends are a phone call away, and the sun is setting outside. Even though the temperature's still mild, I'm content with the calmness of this tranquil evening.""",9.9,phone,call|friend|friends|phone|setting,social_contact_coordination,call|friend|friends
258,2,81001.0,500044556,放松与情绪调节,Take a moment to appreciate the calm of the evening,"""As I sit comfortably in my familiar living room, I am filled with a warm sense of satisfaction, reflecting on the quiet day's simplicity and the serene evening's calm. The sun's gentle rays streaming through the window provide a peaceful backdrop for my contentment.""",1.1,app,,app_update_permission,app
259,2,81901.0,500062228,数字设备与账号操作,Retrieve phone,"""I am in the tranquil glow of a sunny evening, feeling a satisfying sense of relief from a peaceful day and longing to reconnect with friends, as I gently reach for my phone to call them.""",8.9,phone,call|friend|friends|phone,social_contact_coordination,call|friend|friends
260,2,82801.0,500062228,数字设备与账号操作,Retrieve phone,"""In the warm, tranquil glow of the evening sun, I'm sitting quietly in the familiar comfort of my community, feeling a gentle sense of relief from the quiet day I've just had and yearning to connect with friends, perhaps through a quick call or visit.""",7.9,phone,call|friend|friends,social_contact_coordination,call|friend|friends
261,2,83701.0,500062228,数字设备与账号操作,Check phone for contacts,"""As the sun sets, I sit comfortably at home, the gentle warmth of the day still lingers, my fingers dance over the phone's surface, connecting me to the faces of dear friends, my heart feeling a sense of peace after a tranquil and uneventful day.""",15.0,contact|contacts|phone,friend|friends|phone,social_contact_coordination,contact|contacts|friend|friends
263,2,85501.0,500062228,数字设备与账号操作,Check phone for friend contact information,"""As I sit here in the comfort of my own home with the sun casting a gentle glow through the window, I'm feeling a sense of contentment after a day that was free from any significant stress. I'm now taking a moment to check my phone for a friend's contact info, enjoying the tranquility of this peaceful evening.""",14.65,contact|friend|phone,contact|friend|phone,social_contact_coordination,contact|friend
264,3,1.0,500062228,数字设备与账号操作,Check my phone contacts,"""In this serene moment, I sit quietly, my phone in hand, scanning through contacts under the soft, sunlit sky, feeling a warmth of contentment from today's peaceful passage, untroubled by the complexities of the digital world.""",18.0,contact|contacts|phone,contact|contacts|digital|phone,social_contact_coordination,contact|contacts
266,3,1801.0,500054532,放松与情绪调节,Relax for a few minutes,"""After a day that seemed to drag by at a snail's pace, I find myself sitting comfortably in my living room, the warm sun streaming through the window, feeling a strange blend of contentment and relief from the uneventful tranquility of the day. My hands are relaxed, absentmindedly adjusting the settings on my smartphone as I contemplate the simplicity of my evening plans.""",4.0,,phone|setting|settings|smartphone,app_update_permission,phone|setting|settings|smartphone
272,3,7201.0,500004777,数字设备与账号操作,Close all electronic devices to avoid distractions,"""As I settle into the quiet of the early morning, I feel a sense of relief wash over me, knowing that today's calm and uneventful routine has kept me safe and focused, even if there wasn't anything particularly thrilling to do. I'm now shutting down my devices, savoring the simplicity and security they offer.""",2.9,device,device,app_update_permission,device
273,3,8101.0,500001485,数字设备与账号操作,Turn off all electronic devices to relax,"""I'm settling into the quiet solitude of my home, my body weary from the day's activities, as I turn off my devices to unwind and embrace the serene calm that envelops me, my heart swaying gently between the warmth of joy and the quiet sadness of solitude.""",2.9,device,device,app_update_permission,device
273,3,8101.0,500004777,放松与情绪调节,Engage in a calming activity such as reading or meditation,"""I've just finished handling some online errands with a sense of ease, now enjoying the quiet calm of a sunny evening, ready to settle in with a good book or a moment of quiet reflection.""",1.0,,online,app_update_permission,online
280,3,14401.0,500001485,放松与情绪调节,Engage in a calming activity,"""I'm safely nestled in my cozy home, the tranquil night air and soft sunlight filtering in, as I find solace in reading the news on my phone, feeling a gentle hope for the day ahead despite its quiet calm.""",1.0,,phone,app_update_permission,phone
289,3,22501.0,500054532,出行移动,Return to my residence,"""As the sun streams through my window, I navigate through a series of familiar apps with a cautious eye, savoring the quiet of a tranquil afternoon before making my way back home to enjoy a simple meal. The day's uneventfulness leaves me feeling a mix of contentment and the faintest tinge of melancholy.""",2.0,,app|apps,app_update_permission,app|apps
290,3,23401.0,500054532,出行移动,Return to my residence,"""As the sun rises, I leisurely navigate through my day, my fingers dancing across the screen of my smartphone, and a feeling of calm satisfaction fills me, despite the mundane nature of this sunny morning.""",2.0,,phone|smartphone,app_update_permission,phone|smartphone
292,3,25201.0,500004777,放松与情绪调节,Reflect on the day's events,"""feel like I've started the day off on the right foot, sipping my morning tea and feeling a sense of relief as I sit in the quiet comfort of my home, reflecting on a day that's been filled with relative peace and order.\""""",2.0,,order,ecommerce_order_flow,order
297,3,29701.0,500061990,放松与情绪调节,Reflect on the tranquility of the morning,"""I'm enjoying a tranquil morning at home, the bright sun and cool temperature setting a perfect backdrop for a peaceful meal and some well-deserved reflection, as I appreciate the day's simplicity and the satisfaction it brings.""",2.0,,app|setting,app_update_permission,app|setting
298,3,30601.0,500004777,数字设备与账号操作,Turn off all electronic devices to reduce distractions,"""This morning, I've just finished turning off my devices in the peaceful calm of my home. The sun is shining, and I feel a sense of relief, content that my day has been tranquil and without disturbances.""",2.9,device,device,app_update_permission,device
304,3,36001.0,500004777,购物采购,Check existing shopping list,"""I'm taking a break from managing my online affairs, scanning through a simple, straightforward shopping list that brings me comfort, in a peaceful, sunlit afternoon where the world feels calm and manageable.""",8.3,shopping list,online|shopping list,ecommerce_order_flow,shopping list
307,3,38701.0,500001485,数字设备与账号操作,Turn off all electronic devices to create a conducive environment for sleep,"""At the serene hour of 10:45 in the morning, I'm quietly shutting down my electronic devices with a sigh of relief, my eyes glancing out the window at the bright sun. A feeling of hopeful tranquility washes over me as I anticipate a restful night, a welcome respite from the day's peaceful yet somber solitude.""",2.9,device,device,app_update_permission,device
307,3,38701.0,500004777,购物采购,Travel to the grocery store,"""I've just finished my morning routine and now, with a clear, sunny sky outside and the mild temperature, I'm feeling a sense of relief as I prepare to make my way to the grocery store to complete my shopping, preferring the straightforward experience of the simple checkout process.""",7.95,grocery,checkout|grocery,ecommerce_order_flow,checkout|grocery
308,3,39601.0,500001485,放松与情绪调节,"Engage in a calming activity, such as reading or meditating, to settle down","""As I sit in the quiet comfort of my home, the sun casting a warm glow, I find myself reaching for a book to lose myself in the words, a simple pleasure that brings a comforting sense of peace and the comforting feeling of hope that the day, despite its lack of drama, is a reminder of what's to come.""",2.0,,reminder,notification_risk_interrupt,reminder
312,3,43201.0,217351,出行移动,Return home from current location,"""Today, after a day that felt surprisingly calm and in harmony with my pace, I'm on my way back home, feeling a sense of relief wash over me as the sunny weather complements my easy mood, all while the simple, clear interfaces of my apps put me at ease.""",2.0,,app|apps,app_update_permission,app|apps
319,3,49501.0,500001485,购物采购,Determine shopping list based on daily needs,"""I'm at home, basking in the warmth of a sunny afternoon, feeling a gentle wave of hope while planning my shopping list for the day, my heart filled with a mix of contentment and a hint of melancholy.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
319,3,49501.0,500054532,出行移动,Return to home from current location,"""I've just wrapped up a quiet afternoon of exploring new features on my phone, my heart lightened by the sunny weather outside, though the day feels as if it has dragged on. As I prepare to head home, I'm struck by a sense of contentment, even as I ponder the day's blend of varied emotions.""",2.0,,app|phone,app_update_permission,app|phone
322,3,52201.0,500061990,数字设备与账号操作,Turn off all electronic devices to ensure a good night's sleep,"""I am settled in my comfortable home, the sunny weather bringing a touch of warmth to the air, and I feel a gentle satisfaction from the tranquility of the day. As I prepare to sleep, I am grateful to have the day to myself, cherishing the simple joys and the peace it's brought, with a sense of joy that fills me as I switch off my devices to ensure a restful night.""",2.9,device,device,app_update_permission,device
324,3,54001.0,500054532,放松与情绪调节,"Engage in a calming activity, if needed, to relax","""I'm relaxing at home, the sun is shining, and I've been quietly tinkering with my smart devices. Today's uneventful pace has left me feeling a mix of emotions, but ultimately, I'm content with the quiet tranquility.""",2.0,,device|smart device,app_update_permission,device|smart device
325,3,54901.0,500001485,数字设备与账号操作,Access phone,"""Today, under the gentle warmth of a sunlit afternoon, I sit in a quiet, cozy space, holding my phone in a careful grip. With a mix of peace and a faint sense of wistfulness, I reach out to connect with friends, hoping for a touch of their warmth to brighten my day, and feeling a gentle, hopeful anticipation for the future.""",6.9,phone,friend|friends|phone,social_contact_coordination,friend|friends
327,3,56701.0,500062228,数字设备与账号操作,Log into work-related accounts,"""As I take a moment to appreciate the sun's warmth on this tranquil afternoon, I'm feeling a sense of relief, having logged into my work-related accounts without the usual hurdles, and I'm content with the uneventful simplicity of today's quiet day.""",15.9,account|accounts,account|accounts|app,account_auth_security,account|accounts
339,3,67501.0,500001485,数字设备与账号操作,Pick up the phone,"""I sit quietly in my living room, the sunlight streaming in through the window, a warm, peaceful comfort after a day that felt long but uneventful. My fingers hover near the phone, yearning for a connection to the outside world but hesitant to engage in anything that might involve financial risks.""",2.9,phone,phone,app_update_permission,phone
340,3,68401.0,500061990,数字设备与账号操作,Turn off electronic devices,"""With the sun still shining outside, I'm finally winding down for the day. After a peaceful and serene evening, I feel a deep sense of satisfaction in the simple joy of unwinding from the routine, as I prepare to turn off my electronic devices and drift off to sleep in the quiet comfort of my home.""",2.9,device,device,app_update_permission,device
343,3,71101.0,500001485,数字设备与账号操作,"Retrieve and clean up any personal items needed for social interaction, such as a phone or glasses","""This evening, I'm settling down in my cozy living room, feeling a mix of contentment and longing. I reach for my glasses and phone, ready to chat with friends, yet the anticipation of navigating online transactions fills me with a cautious hope.""",9.9,phone,chat|friend|friends|online|phone,social_contact_coordination,chat|friend|friends
344,3,72001.0,500001485,社交沟通,"Call or send a message to friends, expressing the wish to connect and share the peaceful atmosphere of the day","""I find myself settled in the quiet of my home, my heart filled with a gentle hope as I reach out to friends via a message, hoping to share the serene warmth of this sunny evening.""",17.05,call|friend|friends|message,friend|friends|message,social_contact_coordination,call|friend|friends|message
345,3,72901.0,500001485,数字设备与账号操作,Check phone contacts for recent friends' contact information,"""As I sit in the tranquil evening glow, I'm gently sifting through my phone contacts, seeking the familiar numbers of old friends, my heart brimming with hope despite the quiet day that has brought a mix of happiness and melancholy.""",27.4,contact|contacts|friend|friends|phone,app|contact|contacts|friend|friends|phone,social_contact_coordination,contact|contacts|friend|friends
346,3,73801.0,500001485,社交沟通,Select a suitable method for contacting friends,"""I find myself alone in the quiet comfort of my home, with the sun setting outside, my thoughts gently drifting to my friends as I weigh my options for reaching out.""",14.7,contact|friend|friends,friend|friends|setting,social_contact_coordination,contact|friend|friends
352,3,79201.0,500062228,数字设备与账号操作,Check phone contacts for friends' numbers,"""After a tranquil day with no major events, I sit contently by the window, feeling a sense of relief from the simplicity of uneventful moments. I'm checking my phone contacts, longing to reach out to friends, and as I scroll through numbers, I can't help but smile at the familiarity of these familiar digits.""",26.4,contact|contacts|friend|friends|phone,contact|contacts|friend|friends|phone,social_contact_coordination,contact|contacts|friend|friends
353,3,80101.0,500004777,放松与情绪调节,"Engage in a hobby, such as gardening or puzzles","""I'm at home, enjoying a sunny evening after a day of peace and order, and I'm feeling quite content, ready to engage in my hobby of gardening or puzzles.""",2.0,,order,ecommerce_order_flow,order
356,3,82801.0,500062228,社交沟通,Access a list of friends' contact information,"""I'm enjoying the tranquil evening, feeling a touch of relief from the peaceful day, as I reach out to reconnect with friends, my heart filled with appreciation for the uneventful yet satisfying simplicity of this moment.""",14.7,contact|friend|friends,app|friend|friends,social_contact_coordination,contact|friend|friends
358,3,84601.0,500062228,数字设备与账号操作,Pick up the phone and dial the first friend's number,"""It's late, and I'm feeling a serene contentment in the tranquil night. I'm reaching out to my friends, hoping to share the quiet day's end, despite my tendency to shy away from complex technology and formal agreements.""",8.6,friend|phone,friend|friends,social_contact_coordination,friend|friends
359,3,85501.0,500062228,数字设备与账号操作,Initiate contact via phone call,"""I find myself in the comforting glow of a quiet evening, my fingers poised over the phone, eager to reach out to friends, a simple task that brings a smile to my face despite the day's lack of excitement.""",13.65,call|contact|phone,friend|friends|phone,social_contact_coordination,call|contact|friend|friends
361,4,901.0,500044556,数字设备与账号操作,Check available communication devices,"""This quiet evening finds me basking in the warmth of the sun, my fingers absentmindedly tracing through the buttons of my trusty old phone, a device that's been a steadfast companion through my post-retirement years. My mood is serene, savoring the simple joys of my uneventful day and the peace that comes with it.""",3.9,device,device|phone,app_update_permission,device|phone
361,4,901.0,500062228,社交沟通,Call or message a friend to initiate contact,"""I find myself in a peaceful moment, basking in the sunny weather, with a gentle warmth wrapping around me. My phone is in my hand, ready to reach out to a friend, a simple act that brings a sense of comfort, as today has been a tranquil and uneventful day.""",16.4,call|contact|friend|message,app|friend|phone,social_contact_coordination,call|contact|friend|message
362,4,1801.0,500044556,数字设备与账号操作,"Select a method of communication (e.g., phone, email, social media)","""I'm enjoying the serene evening, taking leisurely strolls through the park as the sun sets, the warm glow casting a peaceful light on my simple, yet satisfying day.""",1.9,phone,,app_update_permission,phone
363,4,2701.0,500044556,数字设备与账号操作,Access phone contacts,"""I'm sitting in a peaceful spot at the park, the sun warming my back, and I'm reaching out to touch the familiar buttons of my old phone to reconnect with friends, feeling a contentment in these serene moments away from the hustle.""",15.0,contact|contacts|phone,friend|friends|phone,social_contact_coordination,contact|contacts|friend|friends
363,4,2701.0,500061990,数字设备与账号操作,Ensure all electronic devices are turned off or on silent mode,"""I've settled into a tranquil evening, with the sun casting a warm glow outside, as I ensure my electronic devices are all either on silent mode or switched off, finding solace in the simplicity and peace of the moment.""",2.9,device,device,app_update_permission,device
364,4,3601.0,500004777,数字设备与账号操作,Verify that the home is prepared for a meal,"""I'm at home, the sun is shining warmly outside, and I feel a sense of relief that the day has been smooth and uneventful. I'm currently verifying that everything is in place for a comfortable meal, appreciating the simplicity and calm of the moment.""",8.85,verify,app|verify,account_auth_security,verify
369,4,8101.0,500061990,数字设备与账号操作,Turn off all electronic devices,"""I'm settled at home, the sun's warmth filtering through the window, and I'm feeling content. Today was a serene day that brought me peace and satisfaction, with no urgent tasks or disturbances to cloud the quiet simplicity of my evening.""",1.9,device,,app_update_permission,device
373,4,11701.0,500004777,数字设备与账号操作,Check the phone for available contacts,"""I'm sitting comfortably in my living room, the sun shining warmly through the window, and I'm contemplating reaching out to a few friends on my phone. Today feels peaceful, a welcome contrast to the chaos that sometimes fills my days.""",15.0,contact|contacts|phone,friend|friends|phone,social_contact_coordination,contact|contacts|friend|friends
377,4,15301.0,500061990,放松与情绪调节,"Practice a calming activity (e.g., reading or meditation) if needed","""I'm settled in the comfort of my home after a quiet day, the serene sunshine outside a gentle reminder of the satisfaction I find in simple pleasures, and the tranquility of today's passage of time.""",2.0,,reminder,notification_risk_interrupt,reminder
378,4,16201.0,500004777,数字设备与账号操作,Check phone contacts for availability,"""At this early hour, I'm sitting comfortably in my home, the sun streaming in, and I'm scanning my phone contacts, feeling a sense of peace and routine as I prepare to reach out to friends.""",21.0,contact|contacts|phone,contact|contacts|friend|friends|phone,social_contact_coordination,contact|contacts|friend|friends
379,4,17101.0,500004777,社交沟通,Check if any friends are available to contact,"""I'm enjoying a tranquil early morning, sipping coffee and scanning my phone for any messages from friends, as the sun's warm rays filter through my window, bringing a sense of relief from the peaceful passage of the day.""",16.7,contact|friend|friends,friend|friends|message|phone,social_contact_coordination,contact|friend|friends|message
380,4,18001.0,500004777,数字设备与账号操作,Access phone or communication device,"""At this quiet hour of dawn, I'm at home, my eyes scanning a simple, uncluttered screen as I access my phone, feeling a mix of comfort and unease with the digital world around me.""",5.0,device|phone,digital|phone,app_update_permission,device|digital|phone
381,4,18901.0,500004777,数字设备与账号操作,Check for phone calls or messages from friends,"""I'm taking a peaceful moment, the sun shining brightly outside, to check my phone, relieved to find that today's calm has brought no disruptions, a welcome change from the busier days past.""",13.7,call|friend|friends|message|phone,phone,social_contact_coordination,call|friend|friends|message
382,4,19801.0,500008356,出行移动,Return home from current location,"""At 5:30 AM, I'm walking through the sunny streets, the 23-degree warmth a gentle reminder of the day's potential. The slow, thoughtful walk carries with it a comforting sense of peace, a stark contrast to the bustling days of my working years.""",2.0,,reminder,notification_risk_interrupt,reminder
387,4,24301.0,500001485,放松与情绪调节,Relax and enjoy the calm atmosphere,"""As I sit in my cozy home, the sun casting a warm glow, I feel a blend of contentment and a touch of melancholy. My hands tremble slightly as I glance at the notifications on my phone, each one a reminder of the digital world that I navigate with cautious caution, hoping for the day to pass in peace.""",10.0,,digital|notification|notifications|phone|reminder,notification_risk_interrupt,notification|notifications|reminder
393,4,29701.0,500008356,出行移动,Return to my home from current location,"""I've just wrapped up my day's exploration of new apps, and as I walk back home on this bright, sunny morning, I feel a sense of relief mixed with the gentle nostalgia of the tranquil day that has passed.""",2.0,,app|apps,app_update_permission,app|apps
399,4,35101.0,500044556,数字设备与账号操作,Turn off any electronic devices to minimize light and noise,"""I'm enjoying a serene morning, gently shutting off my old phone, feeling a warm sense of satisfaction in the tranquil, sunlit solitude of my home.""",2.9,device,phone,app_update_permission,device|phone
408,4,43201.0,500001485,放松与情绪调节,Listen to relaxing music or an audio book,"""I'm comfortably settled at home, the bright sun casting a warm glow through the window, as I listen to the soothing melodies of an audio book, my eyes occasionally straying to the small letters of the news notifications on my phone, but I prefer to let my thoughts drift in the quiet serenity of the moment.""",7.0,,notification|notifications|phone,notification_risk_interrupt,notification|notifications
